;text;sentiment
65;I just cried whilst watching hollyoaks  .. i need a life! lol;negative
66;Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely;positive
67;Terminator Salvation... by myself.;neutral
68; for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!;negative
69; Why do I have to enter my registration details every time I update?;neutral
70;On the monday, so i wont be able to be with you!  i love you;positive
71; Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!;positive
72; TGIF is right...I think I broke my toe last night - on my bad foot.;neutral
73; Oherr it`s soon then, do you have plans? I had a party on saturday  x;neutral
74;_LaMont yr very young looking dude;positive
75;: hmmm, wrong link, ignore my tweet;negative
76;AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!;negative
77;Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.;negative
78; yep, i wish they were all playing dubiln;positive
79; im a lady and ladies don`t move couches. they direct where the couches go;neutral
80; Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!;positive
81; 26th February;neutral
82;Guess what? mom adopted a kitty today (11 months) His name is Corky;neutral
83;Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!;positive
84; Thank you!  I`m working on `s;positive
85; lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time;neutral
86;Not feeling all that well today;negative
87;http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM;negative
88;_berland LMAO I know I know;neutral
89;Gnight shar   <(` `<)Vega(>` `)>;neutral
90;The underwire in my bra is sticking out and poking me in the armpit;negative
91;Happy Mothers Day!!!;positive
92;Yes, I am;neutral
93; I can`t call Mitch!  Im from sweden!;neutral
94;Happy star wars day! May the fourth be with you;positive
95;was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet;neutral
96;i just watched Marley & Me...i cried so hard!;negative
97;Take antibacterial to school to clean your hands when you cant go the loos;neutral
98;I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.;neutral
99; haaaw..well i get out of class at 10:50..i hope i make it;positive
100;oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent;neutral
101;skype call with billie but my webcam dont work;neutral
102;Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood;positive
103;FML not having a car is prohibiting finding a job;negative
104;  lol since I got twitter a little while ago, it seems like loads of people setting up an account;neutral
105; I want to see David cook!!;positive
106; yeh me 2;neutral
107; learning tat the scenic way  din plan to go town but somehow was herded there?;neutral
108; i don`t want to do anything specific, i just want to see you and puppy!;neutral
109; yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd;negative
110;Toy Story 3 trailer premiered with Up. I need my computer back.;neutral
111;ughh on the phone with HP!;neutral
112;And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart';neutral
113; yay about breaking 200!;positive
114; bahah sadly I am not;negative
115; i always have those for my Champions League parties  Tis awesome;positive
116; well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!;positive
117;_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..;neutral
118; thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers;negative
119;might have to go back much earlier than expected. bye bye bay area;neutral
120;Playin City of Villains, wishin my buddies were playin with me.....;positive
121; yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously;positive
122; riley hacked my twitter!  hahaha :];neutral
123;Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.;neutral
124; I liked it.  Did you record it yourself?  If so you have a very soothing voice.;positive
125;man im so sad school is ending  but then again high school might be better :O;neutral
126; Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.;positive
127; you`re the absoute best;positive
128;oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz;neutral
129;My near daily exercise is starting to show results.;neutral
130; Welcome!;positive
131;Bout to hit pmark then make one of my final meals wit the housemates..;neutral
132;: you get to go home and i have to go to work;neutral
133;voted for  on CMT.com;neutral
134;just got home from a nice party, just not tired yet;positive
135;Now I have a sunburn;negative
136;I have the Job  this is a nice day it can not be better;positive
137;I wish I could go to #BEA this weekend.;positive
138;I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him;neutral
139; love your books;positive
140;ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!;negative
141;Im Slowing on My Tweets..Cuase I Lost My Phone;negative
142; well thank your phone for me.;positive
143; why would they take a photo with stuffed animals?! that`s pretty funny;positive
144;TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak;neutral
145;tikcets are only ï¿½91...each...BUT I SO WANT TO GO;positive
146; Happy Mothers Day;positive
147; It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!;negative
148;is dreaming of the weekend... awake!;neutral
149;Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.;negative
150; yay but you missed naptime;neutral
151;D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good;positive
152;just set up a new computer again. 15min. I love Norton Ghost.;positive
153;Ahhh my mommie got me new sheets for my bed  so comfy;positive
154;_celeste  finally some sleep in silence;neutral
155;im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday;neutral
156;is pretty dang tired. but chambers class is for napping.;negative
157;i have to poop...   is hogging the shitter;negative
158;YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv;neutral
159;Happy muthath`s day to all moms!!! I salute you!;positive
160;Hahaha! Alright  ..;positive
161; Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats;positive
162; good to know   thanks;positive
163; what are you? flavor of the day?;neutral
164;weathers let me down this morning...ugh!...hada gd nite tho!;neutral
165;Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock;neutral
166; E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care;positive
167; that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...;positive
168; oh i love sunday mornings like this - mum just made scrambled eggs on toast;positive
169;hate working when its sunny,boohoo;negative
170;is ONLiNE  http://plurk.com/p/stjdg;neutral
171;bundy. in 3 days.!!!! warm weather here i come!;neutral
172;Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!;negative
173;a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/;neutral
174;Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!;negative
175;_chick haha. I completely agree;positive
176;If we don`t pack, she can`t leave, right?;neutral
177; ****  lol....where u headed to?;neutral
178;Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else;positive
179; many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha;negative
180;it`s nice to leave the office when the sun is still up;positive
181;I will miss the soccer moms;negative
182; between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny;neutral
183; *sighs* Ah well.  Maybe my second email will clear it up and get him approved.;neutral
184;  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****;neutral
185; --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary;neutral
186;looking forward to body works today;neutral
187;just watched yes man. bahaha. that movie is messed up;negative
188; Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years;negative
189; Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.;negative
190;Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon;neutral
191;Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost;negative
192; Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me;neutral
193; glad to know that the ad display problem was due to a firewall config at yr office. phew!;positive
194; woot!;positive
195;'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.;neutral
196; ???    ?????? - http://bit.ly/nAcK2;neutral
197;Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!;neutral
198;Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball;positive
199;Must head back to the office;neutral
200;St joe is dirty.;negative
201;http://twitpic.com/4w67k - Camping at black butte lake;neutral
202; are you getting my messages or do you have to add me to recieve them, soz I`m new to this;neutral
203;I hate my life;negative
204;sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.;negative
205; ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry;negative
206;just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!;negative
207;crying real tears;negative
208;_Brown been holding onto this one for a while  http://twitpic.com/4w5eh;neutral
209; Panchito`s burfday party tonight... wish you were here kiddo!;positive
210;Back from town and my Mac crashed on me  but it`s better now;neutral
211;ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?;neutral
212;the best things in life are free  x;positive
213;misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day;positive
214;I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough;negative
215; that is a bummer;negative
216; He is the truth! But what about Maxwell? You can`t forget the future father of my children!;neutral
217;http://twitpic.com/665jw The racoons ate our bread!;negative
218;Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.;positive
219;_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.;neutral
220;No launch today. Teacher changed plans and we watched a stupid move about tesla;negative
221;  it`s very pleasant. i sooo rarely just have time to kill...;positive
222; thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!;positive
223;__O lol but tiz a good song;positive
224;Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going;neutral
225;@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.;negative
226; what causes the frustration buddy?;neutral
227;_Wright THANK YOU! 'Return of the Mack' is THE jam!;positive
228;Ready for this saddenning depressing dullful upsetting dreadful weekend.;negative
229;sorry for my lack of tweets  ive been buzy. new vid this saturday!!;negative
230; I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt;positive
231;going to bed  cant take thiss any longeerr maan. [U];negative
232;_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!;positive
233; Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done;neutral
234;Spent the last hour signing yearbooks. I`ll miss you guys!;negative
235;And I just love every little thing about you...;positive
236;My mobile has stopped recieving text messages AGAIN. Stoooopid thing;negative
237; Hi Simon, let me know when it`s done;neutral
238;Had an amazing night with my favorite lady friend;positive
239;_Oyler Poor little woman with her smushed in head;negative
240;is fixin to clean the house for my mom for mother`s day;positive
241;Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!;neutral
242; Hey! That`s my school! I hate that place.;negative
243; i did i only got 3 stars on the pre wash then failed the rince;negative
244;MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND;positive
245; follow me too;neutral
246;bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?;neutral
247;I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1;negative
248;, goodnight;positive
249;_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?;negative
250; but i do emily ahahha you scare me, so it would work;negative
251;Now I need to change my monitor;neutral
252; I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much;neutral
253;WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!;neutral
254;should not have waled past the Quad! I want to be outside having fun.;positive
255;just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL;neutral
256;i think the food i ate made me sick.. i no feel so good;negative
257; eagerly anticipating twitpics;neutral
258;Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee;positive
259;Just wants to stay in bed all day but has to go to work instead  sux;negative
260;chillen trying to figure this thing out gettin drunk;positive
261;yay doctors  now interview then back 2 the doctor`s for blood work;neutral
262;Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...;positive
263;I`m siiiiiickkk  I dun feel good!!;negative
264; Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic;positive
265;Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face;positive
266;_89 I feel so sorry for her  hope she dnt cry 2nd time;negative
267;would wish the severe migrains would stop!!! doc`s prescriptions arent working;negative
268;"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!";positive
269;My Life Would Suck Without You - Kelly Clarkson;negative
270;revising for exams;neutral
271; you should so host the next logies, i only laughed at your bit really;positive
272; Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.;neutral
273;__joy i feel like red lea now;positive
274; I`d love to but I think the trek from London would be a bit too much;neutral
275; hey hey;neutral
276;thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch;negative
277;Is miserable  i feel like im gona cry  sux!;negative
278; i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol;positive
279; LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?;positive
280; lol, get watching it again  hehe;neutral
281; Hope you did great - you certainly spent enough time studying.;positive
282; btw - downloaded iphone 3.0 sdk;neutral
283;Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me;negative
284; I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism;negative
285; me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him;neutral
286;Morning all! Have a GREAT DAY! Off to school I go;positive
287;now, in a weird mood  muahaz;negative
288; congrats! Photo of dre?;positive
289;#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!;positive
290;Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace;positive
291; ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.;neutral
292; Oh, and a very good review;positive
293;_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.;negative
294;I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*;negative
295; its hilarious;positive
296; I love the guy that was standing behind me;positive
297;Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!;positive
298;lost my DC hat ..;negative
299;starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update;neutral
300;   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  );neutral
301;Sunny synday morning. Nicole is up later than usual, mommy got some sleep;neutral
302;Browsing  find everything about university & interior design.;neutral
303;I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!;neutral
304; visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas;neutral
305; I am soo excited about your pasadena seminar...if only i can find the confermation email;positive
306;Ugh I don`t feel well again all of a sudden;negative
307;I want a new phone  I`ve seen too much cellphone commercials (;negative
308; we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while;negative
309; http://twitpic.com/4vuuy - That`s so cool.;positive
310;school. 39 days !!! so exited. Amazing premier ;positive
311;  tis very useful indeed esp. for newbies like me!;positive
312;Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.;neutral
313; it was just the handle tg;neutral
314;backe backe... MUFFINS!!!;neutral
315;is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well;positive
316;lasttt mondayyy of classs;neutral
317; yup!  Now I can join in on the nin access fun!;positive
318;I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.;neutral
319; unfair  I wanna go too.;negative
320;Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie;positive
321;Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!;negative
322; Aww, that`s sad.  I miss seeing you guys on the big screen.;negative
323; I knooww  & my hot water bottle iss in whangamata without me. ahhhhh;neutral
324;" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:";negative
325; Thank you so much phaoloo !!!!;positive
326; the hotel should be thankful;positive
327;Watching GH. I feel so bad for Carly.  OMG, so **** up.;negative
328; rofl that`s what we like to hear;positive
329;Ok I`m frustrated, there is hella dust between the screens of my blackberry;negative
330;IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[;negative
331; We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party;neutral
332;Change of plans, working inside bar tonight;neutral
333; thanks for following;positive
334; Well, good luck then.;positive
335;at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes;negative
336;Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps;negative
337;Undervote is just going on  I`m all overalled up;neutral
338;making german apple slice  nom nom nom;positive
339;Looks like its another night at the office lol;neutral
340;My tummy hurts;negative
341;Got about 2 hours sleep.;neutral
342;Anybody else experiencing painful slowdowns with facebook?;negative
343;Lol..2 people in falcon..and boo one of them being becca;neutral
344;i really need to earn money... so that i can watch the PCD concert;neutral
345;The poor Pirate had out his last wisdom tooth and is looking really peaky.;negative
346;Mozzer cancelled tonight by the looks of it.;positive
347;waiting for aaron to get into town, and then leave him for work. booo;negative
348;morning tweat tweat twitter;neutral
349;Headed home ... Charlie`s at the vet;neutral
350;i wanna b maliks from taking the stage;neutral
351;is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :];positive
352;bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair;negative
353; well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent;negative
354;about to go to leeds shopping;neutral
355; Sadly, I can`t view that site due to region restrictions;negative
356;It`s 20:50 hs and i`m still at the office...really tired,wanna go home!;negative
357;Aly & AJ new album this summer. YAY!;positive
358;_day26 ~ Awwwww have fun with the fam boo boo;positive
359;@ lovelytrinkets I like the way you worded that about Rocky Road;positive
360;Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.;positive
361;Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.;negative
362;I have nothing witty to say;neutral
363; me too.;neutral
364;Hi ho  hi ho it`s off to work we go;neutral
365; Thanks for the hint.  http://tinyurl.com/chtx7e.;positive
366; u welcome babe, kill the show! Yuuupp!;positive
367; Hey, Candis.;neutral
368; I was never a good stereotypical teen;negative
369;I love my Maitu. N she loves me. Happy mothers day mama!;positive
370; i am so sorry;negative
371;i want to go to singapore but my mother seems not;neutral
372;JB on the front of factor x!!!!! wooh contest timeee;neutral
373; so u aren`t going to be in Chicago;neutral
374;i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >;positive
375;So tired.;negative
376;had a lovely breakfast with mum...yummy pancakes;positive
377; Yay! have fun;positive
378; Why thank you... Us Mami`s are bringin` sexy back...;positive
379; lucky! that`s awesome;positive
380;Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.);negative
381;I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?;neutral
382;Oh is that time for real?;neutral
383;So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.;neutral
384;I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7;positive
385;I misses my bed  so sleepy!;negative
386;Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp;positive
387;No TV and no internet make Catherine something something?;neutral
388;Anyone have some advice??? I need it!!;neutral
389;Just found mj mouse flats at DJs. Of course there are none left in my size;negative
390;I`m dreading hearing even worse news tonight;negative
391;so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore;neutral
392;haappy bank holiday  2 weeeeks. aah!;positive
393;  I thought  was against licensing stores bc it takes away from the experience they want to provide;neutral
394;_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.;neutral
395;so I slept in a little...well a lot. whooops;neutral
396;says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6;positive
397; Good night, Rob. Sleep well. Safe travels tomorrow!;positive
398; i know i suck.  my data plan is weak sauce.;negative
399; Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x;neutral
400;  Bit of New Scientist, this weeks an last weeks, and Watership Down;neutral
401; dear oh dear.....;negative
402;my monday running so fast!;neutral
403;playing at my old school playground still the same except them lame **** got rid of the tire swing;negative
404;happy mommah`s day to your moms  http://plurk.com/p/stqya;positive
405;_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.;neutral
406; Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x;positive
407; you`re surrounded by them! I have no official nieces/nephews yet;neutral
408; Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket;positive
409; nope i have a fifth generation ipod classic  it likes to be dumb;negative
410; meetings are overrated.;negative
411; I love the smell of procrastination in the morning... oder so.;positive
412; I considered being a nurse when I was younger but I really don`t think I could cope if a baby died;negative
413; I know.  I am definitely going to try and see Up this weekend.;positive
414; Nice!!!!!!!! I WILL be there;positive
415;Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her;negative
416; lol that just totally made me laugh, which made my day;positive
417;tonight was fun;positive
418; this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day;neutral
419;Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol;positive
420;is on facebook;neutral
421;I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...;neutral
422;Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw;neutral
423; http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!;neutral
424;Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?;negative
425; Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff';neutral
426;_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.;neutral
427;Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!;neutral
428;Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!;positive
429; one of our governors is one of the directors of the company;neutral
430;no internet for a week or longer;negative
431;Jesus Christ meadowhall could do with better air con! Too hot;negative
432;Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour;neutral
433; I sure she can;positive
434;Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!;neutral
435;this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist;neutral
436;Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....;neutral
437;Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills;neutral
438; i want to gooo;positive
439;evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work;negative
